,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
83,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,3,10,16,0.631,100.0,0.5709
84,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,3,15,16,0.5999,100.0,0.6035
85,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,4,1,16,0.6932,100.0,0.5077
86,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,4,5,16,0.6633,100.0,0.5378
87,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,4,10,16,0.6286,100.0,0.5735
88,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,4,15,16,0.5968,100.0,0.6069
89,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,5,1,16,0.694,100.0,0.506
90,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,5,5,16,0.6704,100.0,0.5298
91,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,5,10,16,0.6423,100.0,0.5587
92,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,5,15,16,0.6155,100.0,0.5866
93,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,6,1,16,0.6952,100.0,0.5036
94,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,6,5,16,0.6808,100.0,0.518
95,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,6,10,16,0.6631,100.0,0.536
96,alcove,,ll,abstract,0.0033,0.03,6.5,2,3,6,15,16,0.6454,100.0,0.5542
97,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,1,1,16,0.6925,100.0,0.5091
98,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,1,5,16,0.6572,100.0,0.5447
99,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,1,10,16,0.6154,100.0,0.5882
100,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,1,15,16,0.5749,100.0,0.6311
101,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,2,1,16,0.6942,100.0,0.5057
102,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,2,5,16,0.6716,100.0,0.5284
103,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,2,10,16,0.6441,100.0,0.5566
104,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,2,15,16,0.6171,100.0,0.5849
105,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,3,1,16,0.6933,100.0,0.5074
106,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,3,5,16,0.6645,100.0,0.5364
107,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,3,10,16,0.631,100.0,0.5709
108,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,3,15,16,0.5999,100.0,0.6035
109,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,4,1,16,0.6932,100.0,0.5077
110,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,4,5,16,0.6633,100.0,0.5378
111,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,4,10,16,0.6286,100.0,0.5735
112,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,4,15,16,0.5968,100.0,0.6069
113,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,5,1,16,0.694,100.0,0.506
114,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,5,5,16,0.6704,100.0,0.5298
115,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,5,10,16,0.6423,100.0,0.5587
116,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,5,15,16,0.6155,100.0,0.5866
117,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,6,1,16,0.6952,100.0,0.5036
118,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,6,5,16,0.6808,100.0,0.518
119,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,6,10,16,0.6631,100.0,0.536
120,alcove,,ll,abstract,0.0033,0.03,6.5,2,4,6,15,16,0.6454,100.0,0.5542
121,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,1,1,16,0.6925,100.0,0.5091
122,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,1,5,16,0.6572,100.0,0.5447
123,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,1,10,16,0.6154,100.0,0.5882
124,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,1,15,16,0.5749,100.0,0.6311
125,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,2,1,16,0.6942,100.0,0.5057
126,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,2,5,16,0.6716,100.0,0.5284
127,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,2,10,16,0.6441,100.0,0.5566
128,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,2,15,16,0.6171,100.0,0.5849
129,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,3,1,16,0.6933,100.0,0.5074
130,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,3,5,16,0.6645,100.0,0.5364
131,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,3,10,16,0.631,100.0,0.5709
132,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,3,15,16,0.5999,100.0,0.6035
133,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,4,1,16,0.6932,100.0,0.5077
134,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,4,5,16,0.6633,100.0,0.5378
135,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,4,10,16,0.6286,100.0,0.5735
136,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,4,15,16,0.5968,100.0,0.6069
137,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,5,1,16,0.694,100.0,0.506
138,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,5,5,16,0.6704,100.0,0.5298
139,alcove,,ll,abstract,0.0033,0.03,6.5,2,5,5,10,16,0.6423,100.0,0.5587
